id;year;submissiontype;venue;venue_acc;journalorconf;country;region;title;abstract;url;link;include;name;name_txt;type;type_txt;auton;auton_txt;CA_child;CA_child_txt;tts_child;tts_child_txt;asr_child;asr_child_txt;dof;dof_recode;dof_num;dof_txt;domain;domain_txt;role;role_hier;role_txt;setting;setting_recoded;setting_txt;CA_purpose;CA_purpose_txt;age;age_group;age_range;age_bn;age_txt;typical;typical_txt;number;numbergroup;number_txt;research_purpose;research_purpose_txt;indep;indep_txt;dep;dep_txt;conclusion;significance;sig_txt;trust;trust_txt;language;language_txt;language_English;comments;comm2
5;2020;article;Computers in Human Behavior;hci;journal;Switzerland;Europe;Communicative and social consequences of interactions with voice assistants;The growing prevalence of artificial intelligence and digital media in children's lives provides them with the opportunity to interact with novel non-human agents such as robots and voice assistants. Previous studies show that children eagerly adopt and interact with these technologies, but we have only limited evidence of children's distinction between artificial intelligence and humans. In this study, the communication patterns and prosocial outcomes of interactions with voice assistants were investigated. Children between 5 and 6 years (N = 72) of age solved a treasure hunt in either a human or voice assistant condition. During the treasure hunt, the interaction partner supplied information either about their knowledge of or experience with the objects. Afterwards, children were administered a sharing task and a helping task. Results revealed that children provided voice assistants with less information than humans and that only the type of information given by a human interaction partner was related to children's information selection. Sharing was influenced by an interaction between type of information and interaction partner, showing that the type of information shared influenced children's decisions more when interacting with a human, but less when interacting with a voice assistant. Children in all conditions enjoyed the treasure hunt with the interaction partner. Overall, these results suggest that children do not impose the same expectations on voice assistants as they do on humans. Consequently, cooperation between humans and cooperation between humans and computers differ. © 2020 The Authors;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087199244&doi=10.1016%2fj.chb.2020.106466&partnerID=40&md5=190d9734f35f77cf3f2b5634a5a6ed45;5.Auschlimann.pdf;Yes;Sila;introduced E2, called “Sila”,;Voice Assistant;Sila was talking as an audible voice via loudspeakers.;Wizarded;While human experimenter 1 (E1) interacted with the child in the study room during the familiarisation for the treasure hunt, human experimenter 2 (E2) was only present via her voice in all conditions.;ns;;Yes;If children were too shy to ask, E1 asked the questions;Wizarded;;ns;ns;ns;;Other;;companion;equal;During the treasure hunt, the interaction partner supplied information either about their knowledge of or experience with the objects;lab;lab;"While human
experimenter 1 (E1) interacted with the child in the study room during
the familiarisation for the treasure hunt, human experimenter 2 (E2)
was only present via her voice in all conditions.";Help with task, share information, share experiences; Afterwards, children were administered a sharing task and a helping task.;5, 6;young;2;narrow;Children between 5 and 6 years;TD;"This sample was extracted by creating similar background environments for the children in the four conditions based on important covariates: age of the children at test time (we included children between 5 and 6 years of age, which is very broad), parental education (parental education is associated with children’s cognition), media use of the child and the parents (the behaviour of the children in the treasure hunt task depends on the experiences of the children with digital media in general and smart home gadgets in particular), the social dimension of the Strengths and Difficulties Questionnaire (Goodman, 1997; Klasen et al., 2003) and a baseline need-of-help recognition task (Brielmann & Stolarova, 2014) (these two & latter scores were included to have a baseline of social behaviour in dependent of the manipulation during the treasure hunt, see how they were assessed below).";72;71-80;N=72;Effect with CA on xyz (could have been any CA);Results revealed that children provided voice assistants with less information than humans and that only the type of information given by a human interaction partner was related to children’s information selection.;Voice assistant vs. human; in either a human or voice assistant condition.;Prosocial behavior; communication patterns and prosocial outcomes of interactions;;;;No;;ns;;ns;;
8;2015;in proceedings;HRI;robot/agent;conference;USA;North America;Design and Architecture of a Robot-Child Speech-Controlled Game;We describe the conceptual design, architecture, and implementation of a multimodal, robot-child dialogue system in a fast-paced, speech-controlled collaborative game. In Mole Madness, two players (a user and an anthropomorphic robot) work together to move an animated mole character through its environment via speech commands. Using a combination of speech recognition systems and a microphone array, the system can accommodate children's natural behavior in real time. We also briefly present the details of a recent data collection with children, ages 5 to 9, and some of the challenging behaviors the system elicited that we intend to explore.;https://doi.org/10.1145/2701973.2702041;8.AlMoubayed.pdf;Yes;Sammy J;A back-projected anthropomorphic robot head (“Sammy J,”;Robot;anthropomorphic robot head;Fully autonomous;"autonomous,
robotic play companion";Yes;found in a child-child pilot study;No;tutorial style chitchat;Yes;found in a child-child pilot study;limited commands;limited;2;"To accomplish this we currently use
simple voice activity detection in conjunction with the mean
duration of “go” and “jump” found in a child-child pilot study
[Lehman and Al Moubayed, 2015]. When the child’s utterance is
the approximate length of an average single “go” or “jump” then
Task ASR hypothesizes a command, otherwise the decision is left
for the large vocabulary speech recognizer, explained below.";Edutainment;"a two-player multimodal interactive game, Mole Madness
provides a platform for studying collaborative language behavior";companion;equal;A robotic play companion;ns;ns;;Help with task;"task language processing occur
in real-time";5, 6, 7, 8, 9;broad;5;broad;ages 5 to 9.;ns;;40;31-40;played with 40 children;Effect with CA on xyz (could have been any CA);"when children play Mole
Madness with each other, they co-adopt a style of interaction that
both keeps the game moving and feeds their excitement and
enthusiasm";Game events;game events;Style of gameplay, style of interaction;preferred style of gameplay;;;;No;;ns;;ns;Small part is user study, not very wel l described;
14;2014;in proceedings;IDC;CCI;conference;New Zealand;Oceania;A Study of Auti: A Socially Assistive Robotic Toy;This paper presents an evaluation of the effectiveness of a new sociallyassistive robot, Auti, in encouraging physical and verbal interactions in children with autism. It aims to encourage positive play behaviors such as gentle speaking and touching, with positive reinforcement through movement responses, and to discourage challenging behaviors, such as screaming or hitting through the removal of the reinforcing movements. This study evaluates the design by comparing a fullyinteractive Auti to an activeonly version, which does the same movements but does not respond to the child. Results from 18 participants indicate that the Interactive Auti does encourage positive behaviors more than the Activeonly version. However, further design is needed around addressing problematic behaviors.;https://doi.org/10.1145/2593968.2610463;14.Andreae.pdf;Yes;Auti;"a new
socially-assistive robot, Auti,";Robot;"a new
socially-assistive robot, Auti,";Wizarded;"During the experiments, the sound detection was
done manually through the remote, since reliable automatic
detection of someone talking quietly close-up versus someone
shouting from a distance is extremely difficult.";Yes;Auti was designed from the start for children with autis;Not relevant;;Wizarded;;ns;ns;ns;;Healthcare;"encouraging physical and verbal
interactions in children with autism.";toy;lower;before the toys were introduced;home;home;"The trials took place in the child’s home to ensure
that the children were in an environment where they felt
comfortable";Induce playful exploring;"robotic toy
designed to help encourage positive play behaviours and discourage
problematic behaviours (";4, 5, 6, 7, 8;broad;5;broad;"18 children with an autism diagnosis
between the ages of 4 years 6 months and 8 years 2 months.";Autistic;"All participants had a formal autism
diagnosis from a paediatrician and this diagnosis was confirmed
with the Gilliam Autism Rating Scale Second Edition (GARS-2).";18;Nov/20;"18 children with an autism diagnosis
between the ages of 4 years 6 months and 8 years 2 months.";Effect of CA on xyz;"evaluates the
design by comparing a fully-interactive Auti to an active-only
version";Interactivity;fully-interactive Auti to an active-only version;Child's behavior;positive behaviors [and] problematic behaviors;;;;No;;ns;;ns;Pre interview;
15;2013;in proceedings;IDC;CCI;conference;USA;North America;Fun and Fair: Influencing Turn-Taking in a Multi-Party Game with a Virtual Agent;Language-based interfaces for children hold great promise in education, therapy, and entertainment. An important subset of these interfaces includes those with a virtual agent that mediates the interaction. When participants are groups of children, the agent will need to exert a certain amount of turn-taking control to ensure that all group members participate and benefit from the experience, but must do so without being so overtly directive as to undermine the children's enjoyment of and engagement in the task. We present a hierarchy of nonverbal and verbal behaviors that a virtual agent can employ flexibly when passing the conversational turn. When used effectively, these behaviors can equalize participation, and potentially decrease the amount of overlapping speech among participants, improving automatic speech recognition in turn. We evaluated the behaviors by having children play a language-based game twice, once with a flexible host and once with an inflexible host that did not have access to the behaviors. Post-game opinion cards revealed no difference between the conditions with respect to fun or likability of the host, despite the flexible agent eliciting more evenly distributed play.;https://doi.org/10.1145/2485760.2485800;15.Andrist.pdf;Yes;Edith;"The host
of the game, Edith, is an animated character responsible for
making the changes and mediating the interaction.";Virtual Agent;"We present a hierarchy of nonverbal and verbal behaviors
that a virtual agent";Wizarded;Edith is controlled in a Wizard-of-Oz manner.;Yes;"We have contextualized this work in an interactive languagebased
game called Robo Fashion World. In this game, groups of
up to four children change the appearance of a model by calling
out the names of items on the game board";ns;;Wizarded;;ns;ns;ns;;Entertainment;"We have contextualized this work in an interactive languagebased
game called Robo Fashion World. In this game, groups of
up to four children change the appearance of a model by calling
out the names of items on the game board";host;higher;"The host
of the game, Edith, is an animated character responsible for
making the changes and mediating the interaction.";lab;lab;"Following informed consent, the children were brought into the
study room and briefly introduced to the two agents they would be
interacting with, Edith and Charlotte";Perform actions of children in the game;"children can either ask Edith to dress up the model with one of the
items currently displayed on the board, or ask her to take a picture
of the model as it is";4, 5, 6, 7, 8, 9, 10;broad;7;wide;"Ages ranged from
4 to 10 (M = 7 years, SD = 2 years)";ns;ns;33;31-40;Thirty-three children (17 females and 16 males);Effect with CA on xyz (could have been any CA);"hierarchy of nonverbal and verbal behaviors
that a virtual agent can employ flexibly when passing the
conversational turn.";(In)Flexible behavior;"once with a flexible
host and once with an inflexible host";Fun. Likability, Distributed play;"fun or likability of the host,
despite the flexible agent eliciting more evenly distributed play";;;;No;;ns;;ns;;
22;2003;conference;Eurospeech;speech;conference;Sweden;Europe;Child and adult speaker adaptation during error resolution in a publicly available spoken dialogue system;This paper describes how speakers adapt their language during error resolution when interacting with the animated agent Pixie. A corpus of spontaneous human-computer interaction was collected at the Telecommunication museum in Stockholm, Sweden. Adult and children speakers were compared with respect to user behavior and strategies during error resolution. In this study, 16 adults and 16 children speakers were randomly selected from a corpus from almost 3.000 speakers. This sub-corpus was then analyzed in greater detail. Results indicate that adults and children use partly different strategies when their interactions with Pixie become problematic. Children tend to repeat the same utterance verbatim, altering certain phonetic features. Adults, on the other hand, often modify other aspects of their utterances such as lexicon and syntax. Results from the present study will be useful for constructing future spoken dialogue systems with improved error handling for adults as well as children.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009188327&partnerID=40&md5=c8084855898639b762633496fda29a28;22.Bell.pdf;Yes;Pixie;the animated agent Pixie;Virtual Agent;the animated agent Pixie;Fully autonomous;"With all twelve screens
potentially being used at the same time, and people
simultaneously speaking to each other, the acoustic environment
is very challenging. The visitors are asked to either help Pixie
perform certain tasks in the apartment or encouraged to ask the
agent general questions about herself or the exhibition.";No;"A
corpus of spontaneous human-computer interaction was collected
at the Telecommunication museum in Stockholm, Sweden. Adult
and children speakers were compared";No;"A
corpus of spontaneous human-computer interaction was collected
at the Telecommunication museum in Stockholm, Sweden. Adult
and children speakers were compared";No;"A
corpus of spontaneous human-computer interaction was collected
at the Telecommunication museum in Stockholm, Sweden. Adult
and children speakers were compared";free speech;free speech;;"about 35.000
utterances of spontaneous computer-directed Swedish have been
collected.";Entertainment;"The Pixie system is placed in the permanent exhibition ‘Tänk Om’
(‘What If’), where visitors can experience a full-size apartment of
the year 2010. The animated agent Pixie (see Figure 1) with whom
the users interact in spoken Swedish is supposed to visualize an
embodied speech interface to both information services and home
control in this apartment.";Service;lower;"The Pixie system is placed in the permanent exhibition ‘Tänk Om’
(‘What If’), where visitors can experience a full-size apartment of
the year 2010. The animated agent Pixie (see Figure 1) with whom
the users interact in spoken Swedish is supposed to visualize an
embodied speech interface to both information services and home
control in this apartment.";museum;public space;"A
corpus of spontaneous human-computer interaction was collected
at the Telecommunication museum in Stockholm, Sweden. Adult
and children speakers were compared";Information service and home control;"The Pixie system is placed in the permanent exhibition ‘Tänk Om’
(‘What If’), where visitors can experience a full-size apartment of
the year 2010. The animated agent Pixie (see Figure 1) with whom
the users interact in spoken Swedish is supposed to visualize an
embodied speech interface to both information services and home
control in this apartment.";9, 10, 11, 12;broad;4;broad;"The children in
this subsection of the corpus were between the ages of 9 and 12";ns;;16;Nov/20;16 children speakers;Effect with CA on xyz (could have been any CA);"Adult
and children speakers were compared with respect to user
behavior and strategies during error resolution.";Error resolution;"Adult
and children speakers were compared with respect to user
behavior and strategies during error resolution.";error handling strategies;"Adult
and children speakers were compared with respect to user
behavior and strategies during error resolution.";;;;No;;Swedish;"about 35.000
utterances of spontaneous computer-directed Swedish have been
collected.";Other;;
30;2017;article;Autonomous robots;robot/agent;journal;USA;North America;A low-cost socially assistive robot and robot-assisted intervention for children with autism spectrum disorder: field trials and lessons learned;Recent research has employed socially assistive robots as catalysts for social interaction and improved communication in young children with autism spectrum disorder (ASD). Studies describe observed therapeutic outcomes such as increased speech, social interaction, joint and directed attention, but few detail a robot-inclusive protocol which evaluates a set of robot tasks using widely-accepted, clinical assessments to evaluate the efficacy of the approach. In this study, we employed a low-cost, toy-like robot prototype with safety features such as a snap-off head and two snap-off arms, a camera for face, hand detection and session recording, two autonomous games and a teleoperated mode. We then developed and tested a new, robot-assisted intervention. Eight study participants and three controls diagnosed with ASD and a speech deficiency were recruited. The study group received pre-, post-intervention measures with the Vineland Adaptive Behavioral Scale II (VABS-II), mean length spontaneous utterance determination (MLSUD), motor imitation scale (MIS), unstructured imitation assessment (UIA) and Expressive Vocabulary Test 2 (EVT-2) and participated in twelve 30 min interventions. To explore the efficacy of the robot and new robot-assisted intervention we (1) measured improvements in spontaneous speech, communication and social skills using standard measures of performance, (2) compared improvements observed with a study group receiving the robot-assisted intervention with a control group receiving speech therapy but no robot-assisted intervention and, (3) validated a set of robot behaviors that may inform an integrated, cross-platform, approach for incorporating an autonomous, robot-assisted ASD intervention within a clinical methodology. Paired-samples t test results indicate significantly improved adaptive functioning in the VABS-II socialization and communication domains, MLSUD, UIA Social Interaction, UIA Requesting, and UIA Joint Attention domains. Between-group analyses also suggest significant improvement in VABS-II Play and Leisure, Receptive Language subdomains and trends in VABS-II Coping Skills and Interpersonal Scale subdomains. © 2016, Springer Science+Business Media New York.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959135696&doi=10.1007%2fs10514-016-9554-4&partnerID=40&md5=cdac19a97af209945a1a07c86d9d51fd;30.Boccanfuso.pdf;Yes;Charlie;CHARLIE the robot.;Robot;CHARLIE the robot.;Wizarded;"Before developing and implementing a newset of autonomous
robot tasks, particularly due to the exploratory nature of the
novel interaction design, we opted to first use a teleoperated
mode to control the robot’s actions";Yes;"Second, given the critical role of free play during a child’s
early social development, we sought to maximize opportunities
for children to freely explore and manipulate the robot
without excessive concern for the physical integrity of the
robot. To this end, we integrated snap-off arms and head on
the robot and included a base that could be secured to a table.
Finally, the outward appearance of the robot was designed
to be toy-like to invite the attention of young children with
ASD and to avoid being intimidating to the greatest extent
possible.";Yes;"Once it has detected the pose, the robot indicates that it has
learned the pose by saying “O.k., I got it. Now let me try”,
turns to the second player (seated to the left of the robot), asks
the child to imitate and then assumes the same pose learned
from the first player. If the second player successfully imitates
the pose, the robot responds by saying “You got it!”, claps its
hands and giggles. If the player does not immediately imitate
the correct pose, the robot will ask the child to try again. If
the child does not correctly assume the pose after three tries,
the robot asks the current player to initiate a new pose and
the game continues, this time with the second player initially
“passing” the pose to the robot";Wizarded;;ns;ns;ns;;Healthcare;"therapeutic outcomes such
as increased speech, social interaction, joint and directed
attention, but few detail a robot-inclusive protocol which
evaluates a set of robot tasks using widely-accepted, clinical
assessments to evaluate the efficacy of the approach";companion;equal;"child-led communication
and socialization using a set of new, interactive
games with a robot prototype";therapy;therapy;"Children in the control group received speech therapy for the
entire 6-week participation in the study but did not receive
the robot-assisted intervention whereas most of the children
in the study group received the robot-enabled intervention in
addition to speech therapy";Improve social capabilities;"catalysts for social interaction and improved communication
in young children with autism spectrum disorder
(ASD).";3, 4, 5, 6;broad;4;broad;A group of eight children, between 3 and 6 years of age,;Autistic, speech deficiency;"Eight study participants and three controls diagnosed with
ASDand a speech deficiencywere recruited";8;01/Oct;"Eight study participants and three controls diagnosed with
ASDand a speech deficiencywere recruited";Effect of CA on xyz;"“Effectiveness of
CHARLIE the Robot for Improving Verbal and Nonverbal
Skills in Children with Autism";robot intervention or not;"compared improvements observed with a study group
receiving the robot-assisted interventionwith a control group
receiving speech therapy but no robot-assisted intervention";speech and socialization;"To explore the efficacy of
the robot and new robot-assisted intervention we (1) measured
improvements in spontaneous speech, communication
This is one of several papers published in Autonomous Robots
comprising the “Special Issue on Assistive and Rehabilitation
Robotics”.
Electronic supplementary material The online version of this
article (doi:10.1007/s10514-016-9554-4) contains supplementary
material, which is available to authorized users.
B Laura Boccanfuso
laura.boccanfuso@yale.edu
1 University of South Carolina, Columbia, USA
2 Yale University, New Haven, USA
and social skills using standard measures of performance,";;;;No;;ns;;ns;;
35;2005;in proceedings;CHI;hci;conference;France;Europe;Children's and Adults' Multimodal Interaction with 2D Conversational Agents;"Few systems combine both Embodied Conversational Agents (ECAs) and multimodal input. This research aims at modeling the behavior of adults and children during their multimodal interaction with ECAs. A Wizard-of-Oz setup was used and users were video-recorded while interacting with 2D ECAs in a game scenario with speech and pen as input modes. We found that frequent social cues and natural Human-Human syntax condition the verbal interaction of both groups with ECAs. Multimodality accounted for 21% of inputs: it was used for integrating conversational and social aspects (by speech) into task-oriented actions (by pen). We closely examined temporal and semantic integration of modalities: most of the time, speech and gesture overlapped and produced complementary or redundant messages; children also tended to produce concurrent multimodal inputs, as a way of doing several things at the same time. Design implications of our results for multimodal bidirectional ECAs and game systems are discussed.";https://doi.org/10.1145/1056808.1056886;35.Buisine.pdf;Yes;ns;;Virtual Agent;"interacting
with 2D ECAs in a game scenario";Wizarded;A Wizard-of-Oz setup;No;"Our system is being designed for a wide
range of users, i.e. children from about 9 years old to young
adults.";No;"Our system is being designed for a wide
range of users, i.e. children from about 9 years old to young
adults.";No;"Our system is being designed for a wide
range of users, i.e. children from about 9 years old to young
adults.";free speech;free speech;;"We did not give users any indications or instructions
about how to interact with the Agents.";Entertainment;"game scenario with speech and pen as
input modes.";game character;unclear;"Agents and ask them their
wish: it basically consisted in bringing them an object
missing in their room (e.g. bring a lamp or a book to the
Agent in the library). Then the user had to visit the rooms to
find the right objects, take them and bring them back to the
Agents.";ns;ns;;Agent needs something from user;"Agents and ask them their
wish: it basically consisted in bringing them an object
missing in their room (e.g. bring a lamp or a book to the
Agent in the library). Then the user had to visit the rooms to
find the right objects, take them and bring them back to the
Agents.";9, 10, 11, 12, 13, 14, 15;broad;7;wide;10 children (7 male and 3 female users, age range 9 – 15).;ns;;10;01/Oct;10 children (7 male and 3 female users, age range 9 – 15).;Effect with CA on xyz (could have been any CA);"modeling the behavior of adults and children during their
multimodal interaction with ECAs";multimodal behavior;"collect behavioral data for
guiding the implementation of a functional multimodal game
with ECAs";user behavior;"collect behavioral data for
guiding the implementation of a functional multimodal game
with ECAs";;;;No;;French;French-speaking users;Other;;
39;2020;in proceedings;CUI;CUI;conference;Italy;Europe;"What is the Best Action for Children to ""Wake Up"" and ""Put to Sleep"" a Conversational Agent? A Multi-Criteria Decision Analysis Approach";"Popular conversational assistants like Amazon Alexa, Google Assistant, and Apple Siri are activated by pronouncing their wake-up word (""Alexa"", ""OK Google"", and ""Hey Siri"", respectively), and they stop listening when they recognize a pause. We explore whether this paradigm is appropriate for children and whether there are alternative, more effective ways for children to ""wake-up"" and ""put to sleep"" a conversational system. We consider seven possibilities: wake word, free-form speech, physical button, digital button, mouse, gaze, and buzzer. We propose a methodological framework of analysis based on the Multi-Attribute Value Theory (MAVT). As part of the decision-making process, we ran a study involving 42 children aged 9 to 10 who experienced the seven approaches. Our results suggest that the physical button is the most appropriate solution for this target group, which opens up new directions in the design of interaction affordances of conversational agents for children.";https://doi.org/10.1145/3405755.3406129;39.Catania.pdf;Yes;ns;;Virtual Agent;"The computer welcomed the subject, it
put her/him at ease, and presented itself as a game";Wizarded;"The Wizard: A trained person, who spoke with the children
following a rigid script and simulating being a computer
recognizing the wake and sleep actions by the users";Yes;"Decision Maker
(DM: a children-expert User Experience - UX - designer) taking the
partial and the final decisions.";Yes;"Decision Maker
(DM: a children-expert User Experience - UX - designer) taking the
partial and the final decisions.";No;;limited commands;limited;7;"The participant
was provided with instructions about the wake action to use; then,
she/he was asked to repeat two simple sentences interacting with
the system by using the wake/sleep action to prove she/he understood
how to use it. We did not let the child decide what to say,
because we wanted to make participants’ experiences comparable";Other;general domain, not really specified in text;Not clear;unclear;general domain, not really specified in text;school;school;"The study was conducted during a summer campus in a primary
school.";not clear;general domain, not really specified in text;9, 10, 11;10/Dec;3;narrow;42 Italian speaking children aged 9 to 10;ns;;42;41-50;42 Italian speaking children aged 9 to 10;Effect with CA on xyz (could have been any CA);"We explore whether
this paradigm is appropriate for children and whether there are
alternative, more effective ways for children to “wake-up” and “put
to sleep” a conversational system";wake up strategy;"We consider seven possibilities:
wakeword, free-form speech, physical button, digital button, mouse,
gaze, and buzzer.";attributes;"attributes are meant as measurable quantitative or
qualitative characteristics to quantify the level of achievement of
the objectives.";;;;No;;Italian;42 Italian speaking children aged 9 to 10;Other;;
41;2016;conference;Interspeech;speech;conference;USA;North America;An acoustic analysis of child-child and child-robot interactions for understanding engagement during speech-controlled computer games;Engagement is an essential factor towards successful game design and effective human-computer interaction. We analyze the prosodic patterns of child-child and child-robot pairs playing a language-based computer game. Acoustic features include speech loudness and fundamental frequency. We use a linear mixed-effects model to capture the coordination of acoustic patterns between interactors as well as its relation to annotated engagement levels. Our results indicate that the considered acoustic features are related to engagement levels for both the childchild and child-robot interaction. They further suggest significant association of the prosodic patterns during the child-child scenario, which is moderated by the co-occurring engagement. This acoustic coordination is not present in the child-robot interaction, since the robot's behavior was not automatically adjusted to the child. These findings are discussed in relation to automatic robot adaptation and provide a foundation for promoting engagement and enhancing rapport during the considered game-based interactions. Copyright © 2016 ISCA.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994222247&doi=10.21437%2fInterspeech.2016-85&partnerID=40&md5=4fa5844fda4f3ed7a0123f8cccb044b4;41.Chaspari.pdf;Yes;Sammy J;"one-on-one with Sammy, a back-projected robot head developed
by Furhat Robotics";Robot;"one-on-one with Sammy, a back-projected robot head developed
by Furhat Robotics";ns;;ns;;ns;;ns;;limited commands;limited;2;"The keywords (“go” and “jump”) were manually segmented
from the audio file. Loudness and fundamental frequency (F0),
were computed by openSMILE [23] over each keyword";Entertainment;"“Mole Madness” (MM) is a language-based, speech-controlled
interactive game played by two children, or a child and a
robot [20]. It is a computer-based game built to explore
language-use, turn-taking and engagement during a fast-paced,
speech-based task.";companion;equal;"“Mole Madness” (MM) is a language-based, speech-controlled
interactive game played by two children, or a child and a
robot [20]. It is a computer-based game built to explore
language-use, turn-taking and engagement during a fast-paced,
speech-based task.";ns;ns;;Help with task;"“Mole Madness” (MM) is a language-based, speech-controlled
interactive game played by two children, or a child and a
robot [20]. It is a computer-based game built to explore
language-use, turn-taking and engagement during a fast-paced,
speech-based task.";5, 6, 7, 8, 9, 10;broad;6;wide;Their ages ranged between 5-10 years old;ns;;62;61-70;Our data contain 62 children;Effect with CA on xyz (could have been any CA);"We explore the association between engagement and the
behavioral coordination of two children as well as a child and
a robot during a game-based interaction.";acoustic patterns;"In this paper we modeled the interaction between acoustic
patterns of children while playing a language-based computer
game and its relation to the annotated engagement levels";engagement;"In this paper we modeled the interaction between acoustic
patterns of children while playing a language-based computer
game and its relation to the annotated engagement levels";;;;No;;ns;;ns;;
42;2012;conference;ICASSP;speech;conference;USA;North America;An acoustic analysis of shared enjoyment in ECA interactions of children with autism;"The quality of shared enjoyment in interactions is a key aspect related to Autism Spectrum Disorders (ASD). This paper discusses two types of enjoyment: the first refers to humorous events and is associated with one's positive affective state and the second is used to facilitate social interactions between people. These types of shared enjoyment are objectively specified by their proximity to a voiced and unvoiced laughter instance, respectively. The goal of this work is to study the acoustic differences of areas surrounding the two kinds of shared enjoyment instances, called ""social zones"", using data collected from children with autism, and their parents, interacting with an Embodied Conversational Agent (ECA). A classification task was performed to predict whether a ""social zone"" surrounds a voiced or an unvoiced laughter instance. Our results indicate that humorous events are more easily recognized than events acting as social facilitators and that related speech patterns vary more across children compared to other interlocutors. © 2012 IEEE.";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867602874&doi=10.1109%2fICASSP.2012.6288916&partnerID=40&md5=5c8919800c6d399cced914b4bb5862ef;42.Chaspari.pdf;Yes;Rachel;"It consists of four sessions in which the
child interacts with Rachel and his/her parent.";Virtual Agent;"The Rachel
system, developed at the University of Southern California [6, 7], is
a platform for the collection of emotional, social and communicative
behavior observations between a child, the ECA agent, and the
child’s parent (Section 2).";Wizarded;"The ECA was
controlled using the Wizard of Oz paradigm";Yes;"The Rachel
system, developed at the University of Southern California [6, 7], is
a platform for the collection of emotional, social and communicative
behavior observations between a child, the ECA agent, and the
child’s parent (Section 2).";Yes;"The Rachel
system, developed at the University of Southern California [6, 7], is
a platform for the collection of emotional, social and communicative
behavior observations between a child, the ECA agent, and the
child’s parent (Section 2).";Wizarded;;ns;ns;ns;;Healthcare;"This study provides a novel vocal analysis of the indicators of shared
enjoyment in ECA interactions of children with autism";companion;equal;"The Rachel
system, developed at the University of Southern California [6, 7], is
a platform for the collection of emotional, social and communicative
behavior observations between a child, the ECA agent, and the
child’s parent (Section 2).";lab;lab;"Each session was
recorded with a smart-room setup consisting of three Sony High-
Definition cameras and two shot-gun microphones.";Interact socially;"The Rachel
system, developed at the University of Southern California [6, 7], is
a platform for the collection of emotional, social and communicative
behavior observations between a child, the ECA agent, and the
child’s parent (Section 2).";6, 12;broad;7;wide;This paper includes data from the pilot studies conducted for two children. The first child was a 12-year old boy with an expressive language score of 6 years, 7 months. The second child was a 6-year-old boy with an expressive language score of 2 years, 9 months.;Autistic;"This study provides a novel vocal analysis of the indicators of shared
enjoyment in ECA interactions of children with autism";2;01/Oct;This paper includes data from the pilot studies conducted for two children. The first child was a 12-year old boy with an expressive language score of 6 years, 7 months. The second child was a 6-year-old boy with an expressive language score of 2 years, 9 months.;Effect with CA on xyz (could have been any CA);"The goal of this work is
to study the acoustic differences of areas surrounding the two kinds
of shared enjoyment instances, called “social zones”, using data collected
from children with autism, and their parents, interacting with
an Embodied Conversational Agent (ECA).";social zones;"The goal of this work is
to study the acoustic differences of areas surrounding the two kinds
of shared enjoyment instances, called “social zones”, using data collected
from children with autism, and their parents, interacting with
an Embodied Conversational Agent (ECA).";acoustics;"The goal of this work is
to study the acoustic differences of areas surrounding the two kinds
of shared enjoyment instances, called “social zones”, using data collected
from children with autism, and their parents, interacting with
an Embodied Conversational Agent (ECA).";;;;No;;ns;;ns;;
